"Country Code","Country Name","Indicator","Year","Data"
156,"China","Total Population",1698,NA
156,"China","Total Population",1699,NA
156,"China","Total Population",1700,138000
156,"China","Total Population",1701,NA
156,"China","Total Population",1702,NA
156,"China","Total Population",1703,NA
156,"China","Total Population",1704,NA
156,"China","Total Population",1705,NA
156,"China","Total Population",1706,NA
156,"China","Total Population",1707,NA
156,"China","Total Population",1708,NA
156,"China","Total Population",1709,NA
156,"China","Total Population",1710,NA
156,"China","Total Population",1711,NA
156,"China","Total Population",1712,NA
156,"China","Total Population",1713,NA
156,"China","Total Population",1714,NA
156,"China","Total Population",1715,NA
156,"China","Total Population",1716,NA
156,"China","Total Population",1717,NA
156,"China","Total Population",1718,NA
156,"China","Total Population",1719,NA
156,"China","Total Population",1720,NA
156,"China","Total Population",1721,NA
156,"China","Total Population",1722,NA
156,"China","Total Population",1723,NA
156,"China","Total Population",1724,NA
156,"China","Total Population",1725,NA
156,"China","Total Population",1726,NA
156,"China","Total Population",1727,NA
156,"China","Total Population",1728,NA
156,"China","Total Population",1729,NA
156,"China","Total Population",1730,NA
156,"China","Total Population",1731,NA
156,"China","Total Population",1732,NA
156,"China","Total Population",1733,NA
156,"China","Total Population",1734,NA
156,"China","Total Population",1735,NA
156,"China","Total Population",1736,NA
156,"China","Total Population",1737,NA
156,"China","Total Population",1738,NA
156,"China","Total Population",1739,NA
156,"China","Total Population",1740,NA
156,"China","Total Population",1741,NA
156,"China","Total Population",1742,NA
156,"China","Total Population",1743,NA
156,"China","Total Population",1744,NA
156,"China","Total Population",1745,NA
156,"China","Total Population",1746,NA
156,"China","Total Population",1747,NA
156,"China","Total Population",1748,NA
156,"China","Total Population",1749,NA
156,"China","Total Population",1750,225000
156,"China","Total Population",1751,NA
156,"China","Total Population",1752,NA
156,"China","Total Population",1753,NA
156,"China","Total Population",1754,NA
156,"China","Total Population",1755,NA
156,"China","Total Population",1756,NA
156,"China","Total Population",1757,NA
156,"China","Total Population",1758,NA
156,"China","Total Population",1759,NA
156,"China","Total Population",1760,NA
156,"China","Total Population",1761,NA
156,"China","Total Population",1762,NA
156,"China","Total Population",1763,NA
156,"China","Total Population",1764,NA
156,"China","Total Population",1765,NA
156,"China","Total Population",1766,NA
156,"China","Total Population",1767,NA
156,"China","Total Population",1768,NA
156,"China","Total Population",1769,NA
156,"China","Total Population",1770,NA
156,"China","Total Population",1771,NA
156,"China","Total Population",1772,NA
156,"China","Total Population",1773,NA
156,"China","Total Population",1774,NA
156,"China","Total Population",1775,NA
156,"China","Total Population",1776,NA
156,"China","Total Population",1777,NA
156,"China","Total Population",1778,NA
156,"China","Total Population",1779,NA
156,"China","Total Population",1780,NA
156,"China","Total Population",1781,NA
156,"China","Total Population",1782,NA
156,"China","Total Population",1783,NA
156,"China","Total Population",1784,NA
156,"China","Total Population",1785,NA
156,"China","Total Population",1786,NA
156,"China","Total Population",1787,NA
156,"China","Total Population",1788,NA
156,"China","Total Population",1789,NA
156,"China","Total Population",1790,NA
156,"China","Total Population",1791,NA
156,"China","Total Population",1792,NA
156,"China","Total Population",1793,NA
156,"China","Total Population",1794,NA
156,"China","Total Population",1795,NA
156,"China","Total Population",1796,NA
156,"China","Total Population",1797,NA
156,"China","Total Population",1798,NA
156,"China","Total Population",1799,NA
156,"China","Total Population",1800,330000
156,"China","Total Population",1801,NA
156,"China","Total Population",1802,NA
156,"China","Total Population",1803,NA
156,"China","Total Population",1804,NA
156,"China","Total Population",1805,NA
156,"China","Total Population",1806,NA
156,"China","Total Population",1807,NA
156,"China","Total Population",1808,NA
156,"China","Total Population",1809,NA
156,"China","Total Population",1810,345717
156,"China","Total Population",1811,NA
156,"China","Total Population",1812,NA
156,"China","Total Population",1813,NA
156,"China","Total Population",1814,NA
156,"China","Total Population",1815,NA
156,"China","Total Population",1816,NA
156,"China","Total Population",1817,NA
156,"China","Total Population",1818,NA
156,"China","Total Population",1819,NA
156,"China","Total Population",1820,381000
156,"China","Total Population",1821,NA
156,"China","Total Population",1822,NA
156,"China","Total Population",1823,NA
156,"China","Total Population",1824,NA
156,"China","Total Population",1825,NA
156,"China","Total Population",1826,NA
156,"China","Total Population",1827,NA
156,"China","Total Population",1828,NA
156,"China","Total Population",1829,NA
156,"China","Total Population",1830,409000
156,"China","Total Population",1831,NA
156,"China","Total Population",1832,NA
156,"China","Total Population",1833,NA
156,"China","Total Population",1834,NA
156,"China","Total Population",1835,NA
156,"China","Total Population",1836,NA
156,"China","Total Population",1837,NA
156,"China","Total Population",1838,NA
156,"China","Total Population",1839,NA
156,"China","Total Population",1840,412000
156,"China","Total Population",1841,NA
156,"China","Total Population",1842,NA
156,"China","Total Population",1843,NA
156,"China","Total Population",1844,NA
156,"China","Total Population",1845,NA
156,"China","Total Population",1846,NA
156,"China","Total Population",1847,NA
156,"China","Total Population",1848,NA
156,"China","Total Population",1849,NA
156,"China","Total Population",1850,412000
156,"China","Total Population",1851,NA
156,"China","Total Population",1852,NA
156,"China","Total Population",1853,NA
156,"China","Total Population",1854,NA
156,"China","Total Population",1855,NA
156,"China","Total Population",1856,NA
156,"China","Total Population",1857,NA
156,"China","Total Population",1858,NA
156,"China","Total Population",1859,NA
156,"China","Total Population",1860,377000
156,"China","Total Population",1861,NA
156,"China","Total Population",1862,NA
156,"China","Total Population",1863,NA
156,"China","Total Population",1864,NA
156,"China","Total Population",1865,NA
156,"China","Total Population",1866,NA
156,"China","Total Population",1867,NA
156,"China","Total Population",1868,NA
156,"China","Total Population",1869,NA
156,"China","Total Population",1870,358000
156,"China","Total Population",1871,NA
156,"China","Total Population",1872,NA
156,"China","Total Population",1873,NA
156,"China","Total Population",1874,NA
156,"China","Total Population",1875,NA
156,"China","Total Population",1876,NA
156,"China","Total Population",1877,NA
156,"China","Total Population",1878,NA
156,"China","Total Population",1879,NA
156,"China","Total Population",1880,368000
156,"China","Total Population",1881,NA
156,"China","Total Population",1882,NA
156,"China","Total Population",1883,NA
156,"China","Total Population",1884,NA
156,"China","Total Population",1885,NA
156,"China","Total Population",1886,NA
156,"China","Total Population",1887,NA
156,"China","Total Population",1888,NA
156,"China","Total Population",1889,NA
156,"China","Total Population",1890,380000
156,"China","Total Population",1891,NA
156,"China","Total Population",1892,NA
156,"China","Total Population",1893,NA
156,"China","Total Population",1894,NA
156,"China","Total Population",1895,NA
156,"China","Total Population",1896,NA
156,"China","Total Population",1897,NA
156,"China","Total Population",1898,NA
156,"China","Total Population",1899,NA
156,"China","Total Population",1900,4e+05
156,"China","Total Population",1901,NA
156,"China","Total Population",1902,NA
156,"China","Total Population",1903,NA
156,"China","Total Population",1904,NA
156,"China","Total Population",1905,NA
156,"China","Total Population",1906,NA
156,"China","Total Population",1907,NA
156,"China","Total Population",1908,NA
156,"China","Total Population",1909,NA
156,"China","Total Population",1910,423000
156,"China","Total Population",1911,NA
156,"China","Total Population",1912,NA
156,"China","Total Population",1913,NA
156,"China","Total Population",1914,NA
156,"China","Total Population",1915,NA
156,"China","Total Population",1916,NA
156,"China","Total Population",1917,NA
156,"China","Total Population",1918,NA
156,"China","Total Population",1919,NA
156,"China","Total Population",1920,472000
156,"China","Total Population",1921,NA
156,"China","Total Population",1922,NA
156,"China","Total Population",1923,NA
156,"China","Total Population",1924,NA
156,"China","Total Population",1925,NA
156,"China","Total Population",1926,NA
156,"China","Total Population",1927,NA
156,"China","Total Population",1928,NA
156,"China","Total Population",1929,NA
156,"China","Total Population",1930,489000
156,"China","Total Population",1931,NA
156,"China","Total Population",1932,NA
156,"China","Total Population",1933,NA
156,"China","Total Population",1934,NA
156,"China","Total Population",1935,NA
156,"China","Total Population",1936,NA
156,"China","Total Population",1937,NA
156,"China","Total Population",1938,NA
156,"China","Total Population",1939,NA
156,"China","Total Population",1940,518770
156,"China","Total Population",1941,NA
156,"China","Total Population",1942,NA
156,"China","Total Population",1943,NA
156,"China","Total Population",1944,NA
156,"China","Total Population",1945,NA
156,"China","Total Population",1946,NA
156,"China","Total Population",1947,NA
156,"China","Total Population",1948,NA
156,"China","Total Population",1949,NA
156,"China","Total Population",1950,546815
156,"China","Total Population",1951,NA
156,"China","Total Population",1952,NA
156,"China","Total Population",1953,NA
156,"China","Total Population",1954,NA
156,"China","Total Population",1955,NA
156,"China","Total Population",1956,NA
156,"China","Total Population",1957,NA
156,"China","Total Population",1958,NA
156,"China","Total Population",1959,NA
156,"China","Total Population",1960,667070
156,"China","Total Population",1961,NA
156,"China","Total Population",1962,NA
156,"China","Total Population",1963,NA
156,"China","Total Population",1964,NA
156,"China","Total Population",1965,NA
156,"China","Total Population",1966,NA
156,"China","Total Population",1967,NA
156,"China","Total Population",1968,NA
156,"China","Total Population",1969,NA
156,"China","Total Population",1970,818315
156,"China","Total Population",1971,NA
156,"China","Total Population",1972,NA
156,"China","Total Population",1973,NA
156,"China","Total Population",1974,NA
156,"China","Total Population",1975,NA
156,"China","Total Population",1976,NA
156,"China","Total Population",1977,NA
156,"China","Total Population",1978,NA
156,"China","Total Population",1979,NA
156,"China","Total Population",1980,981861
156,"China","Total Population",1981,NA
156,"China","Total Population",1982,NA
156,"China","Total Population",1983,NA
156,"China","Total Population",1984,NA
156,"China","Total Population",1985,NA
